,Candidate,White voters 18-29,White voters 30-44,White voters 45-59,White vters 60 or older,Black voters 18-29,Black voters 30-44,Black voters 45-59,Black voters 60 or older,Latino voters 18-29,Latino voters 30-44,Latino voters 45-59,Latino voters 60 or older,All others
0,Biden,44%,41%,38%,42%,89%,78%,89%,92%,69%,62%,68%,58%,57%
1,Trump,53%,57%,61%,57%,10%,19%,10%,7%,28%,34%,30%,40%,38%
